ORF	ProteinID	LocusTag
cds1555	WP_016735681.1	RPHASCH2410_PD01830
cds1558	WP_016735684.1	RPHASCH2410_PD01845
cds1565	WP_016735690.1	RPHASCH2410_PD01880
cds1566	WP_004673596.1	RPHASCH2410_PD01885
cds1567	WP_016735691.1	RPHASCH2410_PD01890
cds1568	WP_016735692.1	RPHASCH2410_PD01895
cds1569	WP_039751813.1	RPHASCH2410_PD01900
cds1570	WP_016735694.1	RPHASCH2410_PD01905
cds1577	WP_016735699.1	RPHASCH2410_PD01935
cds1578	WP_016735700.1	RPHASCH2410_PD01940
cds1579	WP_029531771.1	RPHASCH2410_PD01945
cds1580	WP_016735702.1	RPHASCH2410_PD01950
cds1603	WP_016735725.1	RPHASCH2410_PD02065
cds1607	end_range=414906,.	
cds1658	WP_016735773.1	RPHASCH2410_PD02335
cds1659	WP_016735774.1	RPHASCH2410_PD02340
cds1660	WP_016735775.1	RPHASCH2410_PD02345
cds1661	WP_016735776.1	RPHASCH2410_PD02350
cds1663	WP_012489932.1	RPHASCH2410_PD02360
cds1664	WP_016735778.1	RPHASCH2410_PD02365
cds1665	WP_016735779.1	RPHASCH2410_PD02370
cds1718	WP_016735829.1	RPHASCH2410_PD02640
cds1719	WP_016735830.1	RPHASCH2410_PD02645
cds1720	WP_016735831.1	RPHASCH2410_PD02650
cds1721	WP_029531790.1	RPHASCH2410_PD02655
cds1722	WP_029531791.1	RPHASCH2410_PD02660
cds1731	WP_016735843.1	RPHASCH2410_PD02705
cds1733	WP_016735844.1	RPHASCH2410_PD02715
cds1740	WP_004677397.1	RPHASCH2410_PD02750
cds1743	WP_004677391.1	RPHASCH2410_PD02765
cds1749	WP_016735856.1	RPHASCH2410_PD02795
cds1750	WP_016735857.1	RPHASCH2410_PD02800
cds1751	WP_016735858.1	RPHASCH2410_PD02805
cds1752	WP_016735859.1	RPHASCH2410_PD02810
cds1753	WP_016735860.1	RPHASCH2410_PD02815
cds1754	WP_016735861.1	RPHASCH2410_PD02820
cds1794	WP_016735897.1	RPHASCH2410_PD03015
cds1822	WP_012490080.1	RPHASCH2410_PD03155
cds1823	WP_012490081.1	RPHASCH2410_PD03160
cds1829	WP_016735926.1	RPHASCH2410_PD03190
cds1840	gbkey=CDS	RPHASCH2410_PD03245
cds1856	WP_016735951.1	RPHASCH2410_PD03325
cds1890	WP_016735983.1	RPHASCH2410_PD03495
cds1891	WP_010020762.1	RPHASCH2410_PD03500
cds1892	WP_016735984.1	RPHASCH2410_PD03505
cds1923	WP_016736009.1	RPHASCH2410_PD03655
cds1924	WP_004669259.1	RPHASCH2410_PD03660
cds1925	WP_016736010.1	RPHASCH2410_PD03665
cds1934	WP_016736015.1	RPHASCH2410_PD03710
cds1980	WP_010004393.1	RPHASCH2410_PD03935
cds1981	WP_016736056.1	RPHASCH2410_PD03940
cds1987	gbkey=CDS	RPHASCH2410_PD03980
cds2021	gbkey=CDS	
cds2029	end_range=859902,.	
cds2032	end_range=861851,.	RPHASCH2410_PD04195
cds2033	WP_029531829.1	RPHASCH2410_PD04200
cds2034	WP_011428437.1	RPHASCH2410_PD04205
cds2036	WP_016736098.1	RPHASCH2410_PD04215
cds2037	WP_080956208.1	RPHASCH2410_PD04220
cds2055	WP_016736110.1	RPHASCH2410_PD04320
cds2061	WP_016737599.1	RPHASCH2410_PD04350
cds2086	WP_080956210.1	RPHASCH2410_PD04470
cds2107	WP_016736157.1	RPHASCH2410_PD04575
cds2108	WP_016736158.1	RPHASCH2410_PD04580
cds2109	WP_016736159.1	RPHASCH2410_PD04585
cds2110	WP_016736160.1	RPHASCH2410_PD04590
cds2195	WP_080956220.1	RPHASCH2410_PD04995
cds2204	WP_016735300.1	RPHASCH2410_PD05040
cds2205	WP_016735301.1	RPHASCH2410_PD05045
cds2206	WP_016735302.1	RPHASCH2410_PD05050
cds2207	WP_016735303.1	RPHASCH2410_PD05055
cds2209	WP_029531706.1	RPHASCH2410_PD05065
cds2210	WP_016735306.1	RPHASCH2410_PD05070
cds2241	WP_016735333.1	RPHASCH2410_PD05225
cds2242	WP_029531708.1	RPHASCH2410_PD05230
cds2243	WP_029531709.1	RPHASCH2410_PD05235
cds2244	WP_016735336.1	RPHASCH2410_PD05240
cds2245	WP_004678734.1	RPHASCH2410_PD05245
cds2246	WP_004678736.1	RPHASCH2410_PD05250
cds2249	WP_004678740.1	RPHASCH2410_PD05265
