ORF	ProteinID	LocusTag
cds4009	WP_004677699.1	RPHASCH2410_CH17340
cds4017	WP_012484606.1	RPHASCH2410_CH17380
cds4035	WP_080956164.1	RPHASCH2410_CH17460
cds4036	WP_016733681.1	RPHASCH2410_CH17465
cds4041	WP_029531421.1	RPHASCH2410_CH17490
cds4048	WP_016733690.1	RPHASCH2410_CH17525
cds4093	WP_016733715.1	RPHASCH2410_CH17760
cds4095	WP_004680105.1	RPHASCH2410_CH17770
cds4118	WP_016733592.1	RPHASCH2410_CH17885
cds4164	WP_004668527.1	RPHASCH2410_CH18115
cds4228	WP_016733655.1	RPHASCH2410_CH18435
cds4249	gbkey=CDS	
cds4289	WP_016733546.1	RPHASCH2410_CH18750
cds4317	WP_029531389.1	RPHASCH2410_CH18890
cds4339	WP_016733575.1	RPHASCH2410_CH19000
cds4362	WP_029531319.1	RPHASCH2410_CH19115
cds4367	WP_003540801.1	RPHASCH2410_CH19145
cds4379	WP_016733387.1	RPHASCH2410_CH19205
cds4380	WP_029531333.1	RPHASCH2410_CH19210
cds4382	WP_029531336.1	RPHASCH2410_CH19220
cds4383	WP_016733389.1	RPHASCH2410_CH19225
cds4390	WP_012484248.1	RPHASCH2410_CH19260
cds4472	WP_016733455.1	RPHASCH2410_CH19690
cds4497	WP_012484348.1	RPHASCH2410_CH19810
cds4500	WP_016733477.1	RPHASCH2410_CH19825
cds4501	WP_046977140.1	RPHASCH2410_CH19830
cds4515	WP_016733489.1	RPHASCH2410_CH19900
cds4521	WP_029531365.1	RPHASCH2410_CH19930
cds4557	WP_012484172.1	RPHASCH2410_CH20115
cds4585	WP_016733366.1	RPHASCH2410_CH20245
cds4600	WP_004677809.1	RPHASCH2410_CH03740
cds4608	WP_080956137.1	RPHASCH2410_CH03785
cds4668	WP_016737286.1	RPHASCH2410_CH04080
cds4688	WP_016737301.1	RPHASCH2410_CH04180
cds4690	WP_016737303.1	RPHASCH2410_CH04190
cds4851	WP_016736455.1	RPHASCH2410_CH05040
cds4898	WP_016736408.1	RPHASCH2410_CH05265
cds4912	WP_016736401.1	RPHASCH2410_CH05330
cds4964	WP_016736360.1	RPHASCH2410_CH05575
cds5099	WP_016736284.1	RPHASCH2410_CH06255
cds5101	WP_004674197.1	RPHASCH2410_CH06265
cds5114	WP_016736272.1	RPHASCH2410_CH06330
cds5124	WP_016736264.1	RPHASCH2410_CH06380
cds5133	WP_016736256.1	RPHASCH2410_CH06425
cds5138	WP_016736253.1	RPHASCH2410_CH06455
cds5139	WP_016736252.1	RPHASCH2410_CH06460
cds5155	WP_080956143.1	RPHASCH2410_CH06545
cds5159	WP_010023100.1	RPHASCH2410_CH06570
cds5163	WP_029531862.1	RPHASCH2410_CH06590
cds5177	WP_004675229.1	RPHASCH2410_CH06660
cds5181	WP_016736221.1	RPHASCH2410_CH06680
cds5208	WP_012482087.1	RPHASCH2410_CH06815
cds5223	WP_016736192.1	RPHASCH2410_CH06890
cds5240	WP_012482113.1	RPHASCH2410_CH06980
cds5253	WP_012482124.1	RPHASCH2410_CH07045
cds5271	WP_016735219.1	RPHASCH2410_CH07165
cds5347	WP_016735153.1	RPHASCH2410_RS07420
cds5348	WP_029531275.1	RPHASCH2410_CH20255
cds5349	WP_016733253.1	RPHASCH2410_CH20260
cds5354	WP_016733258.1	RPHASCH2410_CH20285
cds5371	WP_016733273.1	RPHASCH2410_CH20375
cds5374	WP_016733276.1	RPHASCH2410_CH20390
cds5505	WP_016733244.1	RPHASCH2410_CH21060
cds5524	WP_016733126.1	RPHASCH2410_CH21155
cds5582	WP_016733164.1	RPHASCH2410_CH21455
cds5620	WP_012483990.1	RPHASCH2410_CH21640
cds5625	WP_012483994.1	RPHASCH2410_CH21665
cds5634	WP_004676199.1	RPHASCH2410_CH21710
cds5639	WP_016733199.1	RPHASCH2410_CH21735
cds5654	WP_004676724.1	RPHASCH2410_CH07585
cds5674	WP_029531685.1	RPHASCH2410_CH07675
cds5677	WP_004672627.1	RPHASCH2410_CH07695
cds5760	WP_004674838.1	RPHASCH2410_CH08120
cds5777	WP_016735073.1	RPHASCH2410_CH08210
cds5779	WP_016735071.1	RPHASCH2410_CH08220
cds5780	WP_016735070.1	RPHASCH2410_CH08225
cds5816	WP_016735041.1	RPHASCH2410_CH08410
cds5821	WP_016735037.1	RPHASCH2410_CH08440
cds5822	WP_016735036.1	RPHASCH2410_CH08445
cds5832	WP_012482353.1	RPHASCH2410_CH08495
cds5888	WP_010024267.1	RPHASCH2410_CH08790
cds5890	WP_010025709.1	RPHASCH2410_CH08800
cds5896	WP_004679846.1	RPHASCH2410_CH08830
cds5901	WP_016734974.1	RPHASCH2410_CH08855
cds5930	WP_016734956.1	RPHASCH2410_CH09000
cds5945	WP_016734945.1	RPHASCH2410_CH09075
cds5979	WP_016734919.1	RPHASCH2410_CH09255
cds6023	WP_016734884.1	RPHASCH2410_CH09490
cds6055	WP_012482571.1	RPHASCH2410_CH09675
cds6071	WP_016734853.1	RPHASCH2410_CH09760
cds6082	WP_004675956.1	RPHASCH2410_CH09815
cds6084	WP_012482597.1	RPHASCH2410_CH09825
cds6085	WP_016734846.1	RPHASCH2410_CH09830
cds6107	WP_012482617.1	RPHASCH2410_CH09945
cds6235	WP_016734755.1	RPHASCH2410_CH10580
cds6293	WP_012482788.1	RPHASCH2410_CH10910
cds6326	WP_016734680.1	RPHASCH2410_RS10825
cds6328	WP_016734679.1	RPHASCH2410_CH11085
cds6340	WP_016734671.1	RPHASCH2410_CH11150
cds6371	WP_003588243.1	RPHASCH2410_CH11310
cds6387	WP_016734639.1	RPHASCH2410_CH11390
cds6397	WP_016734631.1	RPHASCH2410_CH11430
cds6415	WP_016734619.1	RPHASCH2410_CH11525
cds6418	WP_016734616.1	RPHASCH2410_CH11540
cds6439	WP_016734598.1	RPHASCH2410_CH11645
cds6441	WP_004674135.1	RPHASCH2410_CH11655
cds6446	WP_029531608.1	RPHASCH2410_CH11685
cds6463	WP_012482931.1	RPHASCH2410_CH11765
cds6490	WP_012482951.1	RPHASCH2410_CH11920
cds6504	WP_029531598.1	RPHASCH2410_CH11985
