Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds2323	-0.299828178258805	3.76274273248399	6.55352571047041	0.0263543324473741	0.0361069788984338	0.0361069788984338	RPHASCH2410_CH00200	WP_016734122.1
cds4931	-0.150041383029028	5.33344170324637	6.55030740342392	0.0263839603364602	0.0361343445076364	0.0361343445076364	RPHASCH2410_CH05415	WP_010000412.1
cds1250	0.136853330643388	6.63914310193236	6.52370632149901	0.0266303883555949	0.0364585016879999	0.0364585016879999	RPHASCH2410_PD00305	WP_016735419.1
cds4662	-0.186305505302991	5.32487120972174	6.50419474358491	0.0268128981841801	0.0366949462169602	0.0366949462169602	RPHASCH2410_CH04050	WP_016737280.1
cds1432	0.36452733144478	2.61014188827949	6.50117513046399	0.0268412774179901	0.0367203586898893	0.0367203586898893	RPHASCH2410_PD01200	WP_016735572.1
cds4794	-0.135936914649875	6.05205219030368	6.47941960847834	0.027046811744749	0.0369880220535606	0.0369880220535606	RPHASCH2410_CH04750	WP_012485364.1
cds1552	0.156177312328287	5.27131505531923	6.45552964972932	0.02727469206256	0.0372860381264288	0.0372860381264288	RPHASCH2410_PD01815	WP_029531768.1
cds407	0.324064141046464	2.7100251461409	6.43270570051119	0.0274945607357278	0.0375728882197259	0.0375728882197259	RPHASCH2410_PB00275	WP_016736699.1
cds3269	-0.322219207668981	4.36542396589009	6.44447421943205	0.0276015400228586	0.0377053154399854	0.0377053154399854	RPHASCH2410_CH13590	WP_016734314.1
cds2076	-0.323118526423812	3.49519949453446	6.41865110625521	0.0276310111530218	0.0377318039933458	0.0377318039933458		end_range=890534,.
cds2397	0.122354120722867	8.12038168044896	6.3979423970209	0.0278335488312319	0.0379945197940558	0.0379945197940558	RPHASCH2410_CH00585	WP_016734063.1
cds634	0.206820511092592	5.27296475551487	6.38871762125165	0.0279243438589705	0.0381045640044209	0.0381045640044209	RPHASCH2410_PB01395	WP_010006063.1
cds4309	-0.163044180492046	5.16421504122939	6.38605660176748	0.0279506010769672	0.0381264941075395	0.0381264941075395	RPHASCH2410_CH18845	WP_016733559.1
cds4391	0.202323048328607	5.74475302588213	6.36619824230878	0.0281474898453725	0.0383769403705869	0.0383769403705869	RPHASCH2410_CH19265	WP_016733394.1
cds467	-0.172734539552613	4.87765326206316	6.36547321988612	0.0281547096600672	0.0383769403705869	0.0383769403705869	RPHASCH2410_PB00575	WP_016736743.1
cds4452	0.201374377594153	4.24282407945243	6.3594806805044	0.0282144689701139	0.0384443965617533	0.0384443965617533	RPHASCH2410_CH19585	WP_016733439.1
cds1416	-0.1773601046138	4.83886609899144	6.3583786538609	0.0282254752747814	0.0384453980907958	0.0384453980907958	RPHASCH2410_PD01120	WP_016735559.1
cds909	-0.253977520063357	3.95460633476547	6.35433962856699	0.0282658584759079	0.0384826845740836	0.0384826845740836		gbkey=CDS
cds2361	0.267159368385442	3.67521830630043	6.35358487480898	0.0282734123907908	0.0384826845740836	0.0384826845740836	RPHASCH2410_CH00390	WP_016734084.1
cds3275	-0.13431941736416	7.41101030181455	6.34709948451779	0.0283384211449356	0.0385571466177731	0.0385571466177731	RPHASCH2410_CH13620	WP_016734312.1
cds873	0.702134212629106	1.3612583396079	6.34458154948232	0.0283637089998536	0.0385695703148177	0.0385695703148177	RPHASCH2410_PC00635	WP_018247186.1
cds364	0.323414763504664	2.6338207345189	6.34413852686248	0.0283681611212111	0.0385695703148177	0.0385695703148177		WP_004678064.1
cds489	-0.128359128584811	8.8361155100028	6.3368556813698	0.0284414699952468	0.0386552005055224	0.0386552005055224	RPHASCH2410_PB00680	WP_016736760.1
cds537	0.418040492040503	3.26723832394129	6.30450711042608	0.0287698533295223	0.0390873179718338	0.0390873179718338	RPHASCH2410_PB00920	WP_009996984.1
cds65	-0.180450224901527	5.44426303559744	6.28355395419495	0.0289849894459151	0.0393653176691074	0.0393653176691074	RPHASCH2410_PA00335	WP_016736890.1
cds4625	0.143946653090912	5.683111463865	6.27364813072457	0.0290873700900508	0.039490034910069	0.039490034910069	RPHASCH2410_CH03860	WP_016737252.1
cds1272	0.734140682957939	0.589541951493073	6.26928757069087	0.0291325759532239	0.0395370673650896	0.0395370673650896	RPHASCH2410_PD00415	WP_016735437.1
