Geneid	Locus	ID	logFC
cds1424	RPHASCH2410_PD01160	WP_016735566.1	1.72746361131741
cds232	RPHASCH2410_PA01150	WP_016737066.1	1.68628839081466
cds1347	RPHASCH2410_PD00780	WP_016735504.1	2.14448126403069
cds4850	RPHASCH2410_CH05035	WP_016736456.1	2.81466959488377
cds6489	RPHASCH2410_CH11910	WP_016734566.1	1.46354197441192
cds3737	RPHASCH2410_CH15915	WP_016733917.1	2.55145633241672
cds2908	RPHASCH2410_CH03230	WP_004671912.1	2.04611731972227
cds3769	RPHASCH2410_CH16075	WP_037116131.1	1.61289676832379
cds3299	RPHASCH2410_CH13750	WP_003574261.1	1.49738443035767
cds2778	RPHASCH2410_CH02565	WP_012483684.1	1.74887489002107
cds1752	RPHASCH2410_PD02810	WP_016735859.1	1.77112671724861
cds4913	RPHASCH2410_CH05335	WP_016736400.1	1.7067937471806
cds4695	RPHASCH2410_CH04215	WP_016737306.1	1.60991199623855
cds2482	RPHASCH2410_CH01045	WP_004669070.1	1.65260774916955
cds2759	RPHASCH2410_CH02470	WP_009994369.1	1.89744575390216
cds2676	RPHASCH2410_CH02025	WP_016732903.1	1.56249332964386
cds464	RPHASCH2410_PB00560	WP_016736741.1	1.67162155589173
cds1210	RPHASCH2410_PD00100	WP_016735379.1	1.58777478717667
cds2818	RPHASCH2410_CH02765	WP_029531170.1	1.33769543764607
cds2423	RPHASCH2410_CH00735	WP_008521906.1	1.2855693454148
cds6508	RPHASCH2410_CH12005	WP_016734548.1	1.57738123464267
cds2907	RPHASCH2410_CH03225	WP_016733043.1	1.58422405252368
cds4076	RPHASCH2410_CH17670	WP_004680140.1	1.43876169051788
cds24	RPHASCH2410_PA00125	WP_016736929.1	1.9842331606447
cds1244	RPHASCH2410_PD00275	WP_016735412.1	1.44434632811033
cds1015	RPHASCH2410_PC01275	WP_046977177.1	2.6617119632943
cds6382	RPHASCH2410_CH11365	WP_004672609.1	2.20859128917971
cds1980	RPHASCH2410_PD03935	WP_010004393.1	1.74090571290748
cds1014	RPHASCH2410_PC01270	WP_046977176.1	1.89297079338021
cds6507	RPHASCH2410_CH12000	WP_016734549.1	1.28048938719602
cds325	RPHASCH2410_PA01620	WP_016736977.1	1.78845280813111
cds4614	RPHASCH2410_CH03815	WP_029532212.1	1.41136764480166
cds627	RPHASCH2410_PB01360	WP_004674851.1	2.17809150199903
cds2204	RPHASCH2410_PD05040	WP_016735300.1	1.35866470198165
cds2480	RPHASCH2410_CH01035	WP_003573826.1	2.27554698505874
cds2886	RPHASCH2410_CH03110	WP_016733030.1	1.3234427359454
cds1555	RPHASCH2410_PD01830	WP_016735681.1	1.22251806322153
cds118	RPHASCH2410_PA00600	WP_029532041.1	2.08985481515325
cds4091	RPHASCH2410_CH17750	WP_012484665.1	1.30460378289504
cds2205	RPHASCH2410_PD05045	WP_016735301.1	1.98595488662176
cds1733	RPHASCH2410_PD02715	WP_016735844.1	1.2577626020506
cds2267	RPHASCH2410_PD05350	WP_016735352.1	1.23403612181187
cds1045	RPHASCH2410_PC01440	WP_011053340.1	1.44453615464037
cds3770	RPHASCH2410_CH16080	WP_004675679.1	1.3140700351297
cds4853	RPHASCH2410_CH05050	WP_016736453.1	1.16679118818045
cds508	RPHASCH2410_PB00775	WP_016736774.1	1.86124882728899
cds257	RPHASCH2410_PA01275	WP_016737041.1	1.509544616434
cds1658	RPHASCH2410_PD02335	WP_016735773.1	1.41765864694552
cds229	RPHASCH2410_PA01140	WP_004674667.1	1.7314556584703
cds2483	RPHASCH2410_CH01050	WP_004669072.1	1.5285610838938
cds4827	RPHASCH2410_CH04920	WP_012485393.1	1.55761140938685
cds471	RPHASCH2410_RS21785	WP_029531995.1	1.15442674181828
cds4049	RPHASCH2410_CH17530	WP_029531422.1	1.33440468885091
cds4855		WP_004679597.1	1.23380097165871
cds2242	RPHASCH2410_PD05230	WP_029531708.1	2.52129900094198
cds2841	RPHASCH2410_CH02880	WP_016732996.1	1.71112287817116
cds628	RPHASCH2410_PB01365	WP_012490476.1	1.65004224134527
cds522	RPHASCH2410_RS22040	WP_016736788.1	1.6755640037397
cds1369	RPHASCH2410_PD00880	WP_016735525.1	1.2731076205783
cds1750	RPHASCH2410_PD02800	WP_016735857.1	3.45366494253401
cds1245	RPHASCH2410_PD00280	WP_016735413.1	1.66783281805149
cds2266	RPHASCH2410_PD05345	WP_016735351.1	1.35197099225533
cds2791	RPHASCH2410_RS02555	WP_016732968.1	1.30243691757892
cds5513	RPHASCH2410_CH21590	WP_016733183.1	1.22617265443536
cds4715	RPHASCH2410_CH04320	WP_016737317.1	1.64809717615169
cds2671	RPHASCH2410_CH02000	WP_004678848.1	1.33262484851804
cds2036	RPHASCH2410_PD04215	WP_016736098.1	1.8246308116351
cds2245	RPHASCH2410_PD05245	WP_004678734.1	3.10536421495141
cds4694	RPHASCH2410_CH04210	WP_012485277.1	1.41506301881156
cds1558	RPHASCH2410_PD01845	WP_016735684.1	1.57798075215422
cds1115	RPHASCH2410_PC01785	WP_016737454.1	1.40271899656869
cds2881	RPHASCH2410_CH03085	WP_020465354.1	2.12770067883542
cds3265	RPHASCH2410_CH13570	WP_016734320.1	1.53077025251268
cds507	RPHASCH2410_PB00770	WP_012490730.1	1.31111020996935
cds4526	RPHASCH2410_CH19955	WP_012484378.1	1.40301548602142
cds4687	RPHASCH2410_CH04175	WP_016737300.1	1.06622248672522
cds5933	RPHASCH2410_CH09015	WP_003570770.1	1.05935195487285
cds1718	RPHASCH2410_PD02640	WP_016735829.1	1.19641621563464
cds4854	RPHASCH2410_CH05055	WP_004679595.1	1.0555152956123
cds4627	RPHASCH2410_CH03870	WP_016737254.1	1.12975388302628
cds4517	RPHASCH2410_CH19910	WP_016733492.1	1.3237708740791
cds3686	RPHASCH2410_CH15665	WP_046977124.1	1.474022049081
cds4597	RPHASCH2410_RS03615	WP_004677801.1	1.26169463313213
cds2962	RPHASCH2410_CH03510	WP_016733090.1	1.11692266345948
cds397	RPHASCH2410_PB00225	WP_029531975.1	1.65985722593548
cds123	RPHASCH2410_PA00625	WP_016736835.1	1.56291650016529
cds478	RPHASCH2410_PB00625	WP_012490703.1	1.69697147802587
cds3708	RPHASCH2410_CH15770	WP_016733890.1	2.02646758266063
cds3226	RPHASCH2410_CH13380	WP_004670343.1	1.56220110216847
cds1425		gbkey=CDS	1.98014707264589
cds1664	RPHASCH2410_PD02365	WP_016735778.1	1.38733805511287
cds571	RPHASCH2410_PB01090	WP_016736515.1	1.97996534423154
cds2844	RPHASCH2410_CH02895	WP_016732999.1	1.57226142573981
cds2816	RPHASCH2410_CH02750	WP_046977061.1	1.18573499294015
cds5627	RPHASCH2410_CH21675	WP_010024905.1	1.66780976541911
cds998		gbkey=CDS	1.49474778755819
cds2834	RPHASCH2410_CH02845	WP_016732989.1	1.22431942846031
cds6417	RPHASCH2410_CH11535	WP_016734617.1	1.5862915582263
cds629	RPHASCH2410_PB01370	WP_016736559.1	1.31977025501152
cds1461	RPHASCH2410_PD01355	WP_016735600.1	2.35470058486504
cds6413	RPHASCH2410_CH11515	WP_016734620.1	1.12951279884838
cds4753	RPHASCH2410_CH04510	WP_016737530.1	1.52067738509392
cds6394	RPHASCH2410_CH11415	WP_016734634.1	1.21536171646709
cds1077	RPHASCH2410_PC01595	WP_008534378.1	1.61934544060683
cds6481	RPHASCH2410_CH11870	WP_016734570.1	1.64434561976589
cds1659	RPHASCH2410_PD02340	WP_016735774.1	1.16326789926758
cds1013	RPHASCH2410_PC01265	WP_008534237.1	2.31611865019925
cds688	RPHASCH2410_PB01660	WP_010014881.1	1.08210091254212
cds4084	RPHASCH2410_CH17715	WP_010031314.1	1.09180732967527
cds3739	RPHASCH2410_CH15925	WP_010004408.1	1.02150642758693
cds2246	RPHASCH2410_PD05250	WP_004678736.1	1.79916876663205
cds1721	RPHASCH2410_PD02655	WP_029531790.1	2.32410318494991
cds4078	RPHASCH2410_CH17685	WP_012484653.1	1.19729937566064
cds1661	RPHASCH2410_PD02350	WP_016735776.1	1.17050336092423
cds1829	RPHASCH2410_PD03190	WP_016735926.1	1.74850495404288
cds5908	RPHASCH2410_CH08890	WP_004679829.1	1.75258861103008
cds151	RPHASCH2410_PA00770	WP_016736811.1	1.70265392383452
cds1740	RPHASCH2410_PD02750	WP_004677397.1	1.4046593786703
cds4532		gbkey=CDS	1.34922298482563
cds1116	RPHASCH2410_PC01790	WP_039752605.1	1.09871572887126
cds1088	RPHASCH2410_PC01650	WP_016737437.1	2.01866501329373
cds2820	RPHASCH2410_CH02775	WP_016732974.1	1.09419408689168
cds372	RPHASCH2410_PB00100	WP_012490604.1	1.07415920596846
cds1404	RPHASCH2410_PD01060	WP_016735553.1	1.74414050181767
cds41	RPHASCH2410_PA00215	WP_016736911.1	1.68289262608555
cds390	RPHASCH2410_PB00190	WP_016736685.1	1.01080088476787
cds4808	RPHASCH2410_CH04820	WP_012485376.1	1.17910695908868
cds832		gbkey=CDS	1.78976882635026
cds1462	RPHASCH2410_PD01360	WP_016735601.1	3.01780186334389
cds1754	RPHASCH2410_PD02820	WP_016735861.1	1.09780263702577
cds785	RPHASCH2410_PC00210	WP_004671987.1	1.52245324847785
cds1565	RPHASCH2410_PD01880	WP_016735690.1	1.38116260457217
cds1822	RPHASCH2410_PD03155	WP_012490080.1	1.20348212420065
