Geneid	Locus	ID	logFC
cds2365	RPHASCH2410_CH00410	WP_016734081.1	1.34804247544364
cds3736	RPHASCH2410_CH15910	WP_029531484.1	1.43127674302244
cds2061	RPHASCH2410_PD04350	WP_016737599.1	1.60428030442077
cds3687	RPHASCH2410_CH15670	WP_016733877.1	1.18982909891149
cds1840		gbkey=CDS	1.23701240131421
cds3696	RPHASCH2410_CH15710	WP_012484941.1	1.01640522939508
cds2029		end_range=859902,.	1.59610583209667
cds2192	RPHASCH2410_PD04985	WP_016735288.1	1.02462828821342
cds4920	RPHASCH2410_CH05365	WP_012485458.1	1.03283060610093
cds1579	RPHASCH2410_PD01945	WP_029531771.1	3.76244452819424
cds2366		WP_016734080.1	1.54925558528295
cds354		WP_003594574.1	1.09708977660914
cds962		gbkey=CDS	1.30293879646747
cds3285	RPHASCH2410_CH13675	WP_016734306.1	1.07862332254091
cds4515	RPHASCH2410_CH19900	WP_016733489.1	1.06279143190765
cds1445	RPHASCH2410_PD01270	WP_016735585.1	1.32039084935599
cds1480	RPHASCH2410_PD01455	WP_016735617.1	1.25484178923652
cds476		WP_016736751.1	1.43680627362268
cds6498	RPHASCH2410_CH11960	WP_016734557.1	1.14592231028674
cds2195		WP_080956220.1	1.25680765798492
cds159	RPHASCH2410_PA00810	WP_004674652.1	1.0264855395175
cds624	RPHASCH2410_PB01345	WP_080956176.1	1.46632272995196
cds1008		gbkey=CDS	1.92302790978437
cds1607		end_range=414906,.	1.2396211009948
cds2243	RPHASCH2410_PD05235	WP_029531709.1	1.35036529434101
cds2037	RPHASCH2410_PD04220	WP_080956208.1	2.18691550356926
cds2699	RPHASCH2410_CH02140	WP_004671262.1	1.0700106180144
cds963		WP_008534157.1	1.05703473502921
cds2033	RPHASCH2410_PD04200	WP_029531829.1	1.43678781210297
cds1032	RPHASCH2410_PC01355	WP_010031884.1	1.73019001675969
cds326	RPHASCH2410_PA01625	WP_004670929.1	1.74733655416766
cds1303		WP_080956189.1	1.23292099171938
cds329		WP_080574717.1	1.17153167712428
cds1110	RPHASCH2410_PC01760	WP_016737561.1	1.13202522904172
cds2107	RPHASCH2410_PD04575	WP_016736157.1	2.20080190859786
cds311	RPHASCH2410_PA01550	WP_016736991.1	1.13417168822458
