Geneid	logFC	logCPM	F	PValue	adj.PVal	FDR	Locus	ID
cds503	-1.93678465493739	11.0766039010549	778.927725704701	1.23561678104686e-11	2.08766978259191e-10	2.08766978259191e-10	RPHASCH2410_PB00750	WP_004668299.1
cds6519	-1.69838702317475	6.10107018231949	778.475310938261	1.23955546119706e-11	2.08766978259191e-10	2.08766978259191e-10	RPHASCH2410_CH12065	WP_016734537.1
cds2044	-1.41638350808294	7.14260046742368	777.990872987303	1.24378937087362e-11	2.08766978259191e-10	2.08766978259191e-10		gbkey=CDS
cds24	1.9842331606447	5.97859753381554	777.014278566259	1.25237664680096e-11	2.09269901293571e-10	2.09269901293571e-10	RPHASCH2410_PA00125	WP_016736929.1
cds1244	1.44434632811033	7.29773144239999	775.865518151891	1.26256751417828e-11	2.09653071646923e-10	2.09653071646923e-10	RPHASCH2410_PD00275	WP_016735412.1
cds2918	-2.04153440058227	8.23997992794944	775.403070800593	1.26669757918802e-11	2.09653071646923e-10	2.09653071646923e-10	RPHASCH2410_CH03280	WP_029531199.1
cds1015	2.6617119632943	5.06323226200508	774.870537307551	1.27147334394474e-11	2.09653071646923e-10	2.09653071646923e-10	RPHASCH2410_PC01275	WP_046977177.1
cds1593	-1.99894831181095	12.4793120644234	773.230797594097	1.28631256312455e-11	2.11169645779614e-10	2.11169645779614e-10	RPHASCH2410_PD02015	WP_016735715.1
cds4887	-1.44696972245954	6.57639945261719	770.480463586923	1.31166391794148e-11	2.14391180998033e-10	2.14391180998033e-10	RPHASCH2410_CH05215	WP_010034930.1
cds717	-2.03225474922203	6.90671328264186	769.337288836634	1.32237439053086e-11	2.15202058424218e-10	2.15202058424218e-10	RPHASCH2410_PB01805	WP_016736637.1
cds6382	2.20859128917971	4.75153164946187	763.954501607206	1.37421459476435e-11	2.22670356199263e-10	2.22670356199263e-10	RPHASCH2410_CH11365	WP_004672609.1
cds782	-1.92985408152017	7.19282955240158	756.631086649807	1.44864812876157e-11	2.33589674350046e-10	2.33589674350046e-10	RPHASCH2410_PC00190	WP_012489553.1
cds1980	1.74090571290748	6.50072670382178	756.113660187256	1.45408480159126e-11	2.33589674350046e-10	2.33589674350046e-10	RPHASCH2410_PD03935	WP_010004393.1
cds4338	-1.62210243160291	7.15056253611325	752.229026645333	1.49567932777395e-11	2.39244774523842e-10	2.39244774523842e-10	RPHASCH2410_CH18995	WP_012484469.1
cds718	-1.93888711937825	6.19671378169162	745.337306609956	1.57298053676839e-11	2.5053898506911e-10	2.5053898506911e-10	RPHASCH2410_PB01810	WP_016736638.1
cds1014	1.89297079338021	5.60369492072703	743.699504734353	1.59203858988937e-11	2.52500018726945e-10	2.52500018726945e-10	RPHASCH2410_PC01270	WP_046977176.1
cds6507	1.28048938719602	7.88737240088174	742.382284553373	1.60756417817436e-11	2.5362501325384e-10	2.5362501325384e-10	RPHASCH2410_CH12000	WP_016734549.1
cds2225	-1.7318868916404	7.38846836389384	741.95121795321	1.61268376047058e-11	2.5362501325384e-10	2.5362501325384e-10	RPHASCH2410_PD05145	WP_004671480.1
cds325	1.78845280813111	5.99693952671269	741.102284327698	1.62282253302769e-11	2.54151662808478e-10	2.54151662808478e-10	RPHASCH2410_PA01620	WP_016736977.1
cds1676	-2.24293529288727	6.19257090737168	738.952480604206	1.64883585003273e-11	2.57149691111354e-10	2.57149691111354e-10	RPHASCH2410_PD02425	WP_016735790.1
cds843	-1.99181804346766	5.77675750479276	736.797692461065	1.67540475000377e-11	2.60209127770295e-10	2.60209127770295e-10	RPHASCH2410_PC00500	WP_011053470.1
cds4540	-1.6243535117412	7.45216416252621	731.511191432792	1.74275782903484e-11	2.6955134520981e-10	2.6955134520981e-10	RPHASCH2410_CH20025	WP_012484160.1
cds1699	-1.33756530580742	7.08709177945089	729.805186738082	1.7651719034325e-11	2.71894585783862e-10	2.71894585783862e-10	RPHASCH2410_PD02540	WP_016735810.1
cds3728	-1.40118556837221	7.12996319981267	727.727914732483	1.79292479708468e-11	2.75037603093769e-10	2.75037603093769e-10	RPHASCH2410_CH15870	WP_016733909.1
cds1707	-1.68155616692501	7.35018498632787	722.779436710926	1.86113887034424e-11	2.84336440477489e-10	2.84336440477489e-10	RPHASCH2410_PD02580	WP_016735818.1
cds1537	-2.70994047477823	6.52170021873635	819.204973272065	1.88060242932535e-11	2.86142068819707e-10	2.86142068819707e-10	RPHASCH2410_PD01740	WP_012489849.1
cds4706	-2.07104115790731	7.65269616567436	714.005322463628	1.98977295825887e-11	3.00545905397886e-10	3.00545905397886e-10	RPHASCH2410_CH04270	WP_004678026.1
