Geneid	Locus	ID	logFC
cds3240	RPHASCH2410_CH13445	WP_016734338.1	-1.21937141945978
cds4065	RPHASCH2410_CH17615	WP_016733700.1	-2.04926872690895
cds1053	RPHASCH2410_RS24480	WP_008534338.1	-1.48828720313204
cds1436	RPHASCH2410_PD01225	WP_046977207.1	-1.34112315491451
cds1538		gbkey=CDS	-2.22247476775071
cds4375	RPHASCH2410_CH19185	WP_004672797.1	-1.7966782988468
cds2917	RPHASCH2410_CH03275	WP_016733049.1	-1.68368151137737
cds645	RPHASCH2410_PB01450	WP_016736573.1	-1.34148534392719
cds4541	RPHASCH2410_CH20030	WP_004680588.1	-1.88716249485842
cds707	RPHASCH2410_PB01755	WP_010001657.1	-1.70491426435049
cds2046		gbkey=CDS	-1.46901580607389
cds433	RPHASCH2410_PB00405	WP_004672431.1	-1.1845508517823
cds1459		WP_080956190.1	-1.73495019983947
cds4476		WP_004676578.1	-1.53253141291402
cds6410	RPHASCH2410_CH11500	WP_016734621.1	-2.39333254120376
cds107		gbkey=CDS	-1.14863855867818
cds1546	RPHASCH2410_PD01785	WP_016735672.1	-1.38854466644769
cds1052	RPHASCH2410_PC01475	WP_004668632.1	-1.31587662293799
cds1572		WP_003571841.1	-2.99754199017158
cds1760	RPHASCH2410_PD02850	WP_016735865.1	-1.53723151098989
cds6522	RPHASCH2410_CH12080	WP_016734534.1	-1.30871197773899
cds4725	RPHASCH2410_CH04370	WP_011426894.1	-1.60988209651914
cds4833	RPHASCH2410_CH04950	WP_039752195.1	-1.37701581140626
cds3253	RPHASCH2410_CH13510	WP_016734330.1	-1.2609510761092
cds4411	RPHASCH2410_CH19375	WP_012484268.1	-1.31126873996107
cds4556	RPHASCH2410_CH20105	WP_004680626.1	-1.32568160008498
cds2921	RPHASCH2410_CH03295	WP_016733053.1	-1.62538729076079
cds698	RPHASCH2410_PB01710	WP_016736622.1	-1.13063139936309
cds955	RPHASCH2410_PC01040	WP_029532346.1	-1.37212044242821
cds1219	RPHASCH2410_PD00145	WP_012489630.1	-1.53184957395314
cds1050	RPHASCH2410_PC01465	WP_004668627.1	-1.54597745407947
cds1218	RPHASCH2410_PD00140	WP_029531721.1	-1.12056191446141
cds1545	RPHASCH2410_PD01780	WP_016735671.1	-1.68275975270824
cds4796	RPHASCH2410_CH04760	WP_004671792.1	-1.52809496511072
cds3278	RPHASCH2410_CH13635	WP_012483243.1	-2.006057798657
cds1679	RPHASCH2410_PD02440	WP_016735792.1	-2.08926642959007
cds1687	RPHASCH2410_PD02480	WP_016735800.1	-1.17968120126261
cds593	RPHASCH2410_PB01200	WP_012490446.1	-1.16096730974445
cds502	RPHASCH2410_PB00745	WP_004668301.1	-1.32574647200398
cds3274	RPHASCH2410_CH13615	WP_004672535.1	-1.81350394369507
cds1656		end_range=464682,.	-1.67582338214427
cds4750	RPHASCH2410_CH04495	WP_016737541.1	-1.27922297773659
cds1645	RPHASCH2410_PD02270	WP_016735762.1	-1.18442612862719
cds4889	RPHASCH2410_CH05225	WP_016736418.1	-1.07788632195779
cds2700	RPHASCH2410_CH02145	WP_016732910.1	-1.31493050210268
cds1591	RPHASCH2410_PD02005	WP_016735713.1	-1.08146088280461
cds2948	RPHASCH2410_CH03435	WP_016733079.1	-1.14092200410903
cds2082		WP_080956218.1	-1.36831059688334
cds6520		WP_029531594.1	-2.38967534760797
cds1830	RPHASCH2410_PD03195	WP_016735927.1	-1.25274780125369
cds1695	RPHASCH2410_PD02520	WP_016735807.1	-1.14732290972886
cds4070		WP_004680151.1	-1.2533040356383
cds1690	RPHASCH2410_PD02500	WP_016735803.1	-1.76124238871748
cds3681	RPHASCH2410_CH15640	WP_016733873.1	-1.38153264630064
cds3707	RPHASCH2410_CH15765	WP_046977130.1	-1.03658258486497
cds2369	RPHASCH2410_CH00435	WP_012483383.1	-1.30738323181922
cds1364	RPHASCH2410_PD00860	WP_016735520.1	-1.08779056252201
cds1474	RPHASCH2410_PD01425	WP_046977210.1	-1.14586422318831
cds2714	RPHASCH2410_CH02215	WP_016732920.1	-1.08971970194815
cds504	RPHASCH2410_PB00755	WP_012490727.1	-1.17394823645029
cds6476	RPHASCH2410_CH11840	WP_029531603.1	-1.84561342471224
cds3276	RPHASCH2410_CH13625	WP_004672539.1	-1.83613130644708
cds781	RPHASCH2410_PC00185	WP_004678514.1	-1.67338488271614
cds4621		WP_029532219.1	-1.11133455544472
cds2370	RPHASCH2410_CH00440	WP_012483384.1	-1.03396074266289
cds4911	RPHASCH2410_CH05325	WP_012485450.1	-1.10831856238021
cds6395	RPHASCH2410_CH11420	WP_016734633.1	-1.23319791337445
cds1254	RPHASCH2410_PD00325	WP_016735423.1	-2.00486149651434
cds2812	RPHASCH2410_CH02730	WP_004674822.1	-1.10358530529797
cds4831	RPHASCH2410_CH04940	WP_003543311.1	-1.18243918727766
cds1203	RPHASCH2410_PD00050	WP_016735374.1	-1.37849105059964
cds2777	RPHASCH2410_CH02560	WP_012483683.1	-1.42595067339499
cds342	RPHASCH2410_PA01705	WP_010024303.1	-1.052250208997
cds3222	RPHASCH2410_CH13350	WP_016734347.1	-1.37869345763932
cds4667	RPHASCH2410_CH04075	WP_016737285.1	-1.18266068696086
cds2223	RPHASCH2410_PD05135	WP_016735316.1	-1.17667109501344
cds2420	RPHASCH2410_CH00700	WP_012483425.1	-1.26161934267495
cds1692		WP_016735804.1	-2.16091158518084
cds4802	RPHASCH2410_CH04790	WP_039752204.1	-1.39297632245501
cds932	RPHASCH2410_PC00935	WP_009991623.1	-1.03805260441453
